,year,month,day,hexagon,species,count,notes,gopro,type,spp_grp,spp_guild,SST,SSH,SAL,SAL_15,SSH_15,SST_15,F19,F20
1,2020,2,12,53,AWPE,1,NA,NA,bird,WADERS,SURFACE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
2,2020,2,12,53,AWPE,4,NA,NA,bird,WADERS,SURFACE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
3,2020,2,12,53,AWPE,1,NA,NA,bird,WADERS,SURFACE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
4,2020,2,12,53,AWPE,1,NA,NA,bird,WADERS,SURFACE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
5,2020,2,12,53,AWPE,8,NA,NA,bird,WADERS,SURFACE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
6,2020,2,12,53,BRPE,1,NA,NA,bird,WADERS,PLUNGE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
7,2020,2,12,53,BRPE,3,NA,NA,bird,WADERS,PLUNGE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
8,2020,2,12,53,BRPE,1,NA,NA,bird,WADERS,PLUNGE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
9,2020,2,12,53,BRPE,1,NA,NA,bird,WADERS,PLUNGE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
10,2020,2,12,53,BRPE,1,NA,NA,bird,WADERS,PLUNGE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
11,2020,2,12,53,BRPE,1,NA,NA,bird,WADERS,PLUNGE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
12,2020,2,12,53,BRPE,1,NA,NA,bird,WADERS,PLUNGE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
13,2020,2,12,53,BRPE,5,NA,NA,bird,WADERS,PLUNGE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
14,2020,2,12,53,BRPE,1,NA,NA,bird,WADERS,PLUNGE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
15,2020,2,12,53,BRPE,3,NA,NA,bird,WADERS,PLUNGE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
16,2020,2,12,53,BRPE,1,NA,NA,bird,WADERS,PLUNGE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
17,2020,2,12,53,BRPE,2,NA,NA,bird,WADERS,PLUNGE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
18,2020,2,12,53,BRPE,1,NA,NA,bird,WADERS,PLUNGE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
19,2020,2,12,53,BRPE,2,NA,NA,bird,WADERS,PLUNGE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
20,2020,2,12,53,BRPE,4,NA,NA,bird,WADERS,PLUNGE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
21,2020,2,12,53,BRPE,1,NA,NA,bird,WADERS,PLUNGE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
22,2020,2,12,53,BRPE,1,NA,NA,bird,WADERS,PLUNGE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
23,2020,2,12,53,BRPE,1,NA,NA,bird,WADERS,PLUNGE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
24,2020,2,12,53,BRPE,1,NA,NA,bird,WADERS,PLUNGE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
25,2020,2,12,53,BRPE,1,NA,NA,bird,WADERS,PLUNGE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
26,2020,2,12,53,BRPE,2,NA,NA,bird,WADERS,PLUNGE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
27,2020,2,12,53,DCCO,1,NA,NA,bird,SULIDS,DIVE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
28,2020,2,12,53,DCCO,80,NA,NA,bird,SULIDS,DIVE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
29,2020,2,12,53,DCCO,2,NA,NA,bird,SULIDS,DIVE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
30,2020,2,12,53,DCCO,5,NA,NA,bird,SULIDS,DIVE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
31,2020,2,12,53,DCCO,7,NA,NA,bird,SULIDS,DIVE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
32,2020,2,12,53,DCCO,1,NA,NA,bird,SULIDS,DIVE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
33,2020,2,12,53,DCCO,1,NA,NA,bird,SULIDS,DIVE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
34,2020,2,12,53,DCCO,1,NA,NA,bird,SULIDS,DIVE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
35,2020,2,12,53,DCCO,1,NA,NA,bird,SULIDS,DIVE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
36,2020,2,12,53,DCCO,1,NA,NA,bird,SULIDS,DIVE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
37,2020,2,12,53,DCCO,1,NA,NA,bird,SULIDS,DIVE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
38,2020,2,12,53,DCCO,1,NA,NA,bird,SULIDS,DIVE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
39,2020,2,12,53,DCCO,1,NA,NA,bird,SULIDS,DIVE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
40,2020,2,12,53,DCCO,1,NA,NA,bird,SULIDS,DIVE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
41,2020,2,12,53,DCCO,1,NA,NA,bird,SULIDS,DIVE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
42,2020,2,12,53,DCCO,1,NA,NA,bird,SULIDS,DIVE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
43,2020,2,12,53,DCCO,1,NA,NA,bird,SULIDS,DIVE,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
44,2020,2,12,53,GREG,1,NA,NA,bird,WADERS,AMBUSH,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
45,2020,2,12,53,GREG,3,NA,NA,bird,WADERS,AMBUSH,19.71678448,-0.288408577,35.81786664,35.39799142,-0.068858252,20.03550191,0,1
