TERNS,GULLS,CORMORANTS,MERGANSERS,LOONS,SCAUP,SCOTERS,PELICANS,HERONS/EGRETS,PHALAROPES,TROPICBIRDS,BOOBYS,GREBES,IBIS,NODDYS,PETRELS,JAEGERS,SHEARWATERS,TEALS,GEESE,WATERBIRDS,DUCKS,DABBLERS,SEA/DIVERS,LARIDS,SULIDS,WADERS,MASTERLIST,JULY2017&Feb2018LIST,SPECIES,GROUP,NO.ID
BLTE,BOGU,DCCO,COME,COLO,GRSC,SUSC,AWPE,GBHE,PHAL,RBTR,RFBO,PBGR,WHIB,BRNO,BCPE,PAJA,SOSH,CITE,CACG,PHAL,DABD,DABD,SEAD,BRNO,SULI,AWPE,ABDU,AWPE,ABDU,CORM,BIRD
BRTE,FORG,NECO,HOME,RTLO,LESC,BLSC,BRPE,BCNH,REPH,TROP,MABO,EAGR,GLIB,BLNO,BSTP,POJA,AUSH,BWTE,CANG,REPH,MALL,MALL,COGO,BLNO,RFBO,BRPE,AMCO,BIRD,AMCO,GREB,
CATE,FRGU,ANHI,RBME,LOON,SCAU,WWSC,,GRHE,RNPH,WTTR,BRBO,GREB,IBIS,,LESP,JAEG,COSH,GWTE,DKGO,RNPH,AMBL,AMBL,SUSC,BOGU,MABO,GBHE,AMFL,BOGU,AMFL,GULL,
COTE,GBBG,CORM,MERG,,,SCOT,,HERO,,,,HOGR,WFIB,,WISP,LTJA,GRSH,TEAL,GWFG,PBGR,AMWI,AMWI,BLSC,FRGU,BRBO,BCNH,AMWI,BRBO,AMWI,IBIS,
FOTE,GLGU,,,,,,,TRHE,,,,,DKIB,,STRM,,PESH,,LTGO,EAGR,BWTE,BWTE,WWSC,GBBG,NOGA,GRHE,ANHI,BRNO,ANHI,LOON,
GBTE,GULL,,,,,,,YCNH,,,,,,,,,,,ROGO,GREB,CITE,CITE,SCOT,GLGU,MAFR,HERO,AUSH,BRPE,AUSH,JAEG,
LETE,HEGU,,,,,,,LBHE,,,,,,,,,,,SNGO,HOGR,GWTE,GWTE,BUFF,GULL,DCCO,TRHE,AWPE,BUFF,AWPE,MERG,
ROTE,HERG,,,,,,,CAEG,,,,,,,,,,,,COLO,TEAL,TEAL,LTDU,HEGU,NECO,YCNH,BAEA,CAEG,BAEA,PHAL,
ROYT,ICGU,,,,,,,GREG,,,,,,,,,,,,RTLO,GADW,GADW,COME,HERG,CORM,LBHE,BBWD,COLO,BBWD,SCAU,
SATE,LAGU,,,,,,,REEG,,,,,,,,,,,,LOON,MODU,MODU,HOME,ICGU,ANHI,CAEG,BCNH,CORM,BCNH,SCOT,
SOTE,LBBG,,,,,,,SNEG,,,,,,,,,,,,,NOPI,NOPI,RBME,LAGU,,GREG,BCPE,COME,BCPE,SEAD,
TERN,LIGU,,,,,,,WOST,,,,,,,,,,,,,NSHO,NSHO,MERG,LBBG,,REEG,BLKI,DABD,BLKI,DUCK,
,RBGU,,,,,,,,,,,,,,,,,,,,WODU,WODU,CANV,LIGU,,SNEG,BLNO,DCCO,BLNO,SULI,
,SAGU,,,,,,,,,,,,,,,,,,,,DUCK,DUCK,GRSC,RBGU,,WHIB,BLSC,DUCK,BLSC,TEAL,
,THGU,,,,,,,,,,,,,,,,,,,,MMDU,MMDU,LESC,SAGU,,GLIB,BLSK,GADW,BLSK,TERN,
,YLGU,,,,,,,,,,,,,,,,,,,,SEAD,ABDU,SCAU,THGU,,IBIS,BLTE,GBBG,BLTE,TROP,
,,,,,,,,,,,,,,,,,,,,,COGO,,REDH,YLGU,,WFIB,BLVU,GBHE,BLVU,VULT,
,,,,,,,,,,,,,,,,,,,,,SUSC,,RNDU,BLTE,,DKIB,BOGU,GREB,BOGU,RAPT,
,,,,,,,,,,,,,,,,,,,,,BLSC,,,BRTE,,ROSP,BRBO,GREG,BRBO,,
,,,,,,,,,,,,,,,,,,,,,WWSC,,,CATE,,,BRNO,GULL,BRNO,,
,,,,,,,,,,,,,,,,,,,,,SCOT,,,COTE,,,BRPE,HEGU,BRPE,,
,,,,,,,,,,,,,,,,,,,,,BUFF,,,FOTE,,,BRTE,HERG,BRTE,,
,,,,,,,,,,,,,,,,,,,,,LTDU,,,GBTE,,,BSTP,HERO,BSTP,,
,,,,,,,,,,,,,,,,,,,,,CANV,,,LETE,,,BUFF,IBIS,BUFF,,
,,,,,,,,,,,,,,,,,,,,,GRSC,,,ROTE,,,BWHA,JAEG,BWHA,,
,,,,,,,,,,,,,,,,,,,,,LESC,,,ROYT,,,BWTE,LAGU,BWTE,,
,,,,,,,,,,,,,,,,,,,,,SCAU,,,SATE,,,CACG,LBBG,CACG,,
,,,,,,,,,,,,,,,,,,,,,REDH,,,SOTE,,,CAEG,LETE,CAEG,,
,,,,,,,,,,,,,,,,,,,,,RNDU,,,TERN,,,CANG,LOON,CANG,,
,,,,,,,,,,,,,,,,,,,,,ABDU,,,RBTR,,,CANV,MABO,CANV,,
,,,,,,,,,,,,,,,,,,,,,,,,TROP,,,CATE,MAFR,CATE,,
,,,,,,,,,,,,,,,,,,,,,,,,WTTR,,,CITE,MERG,CITE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,COGA,MODU,COGA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,COGO,NOGA,COGO,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,COLO,NOPI,COLO,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,COME,NSHO,COME,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,COOT,OSPR,COOT,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,CORM,PHAL,COSH,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,COSH,RBME,COTE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,COTE,REDH,DABD,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,DABD,ROSP,DCCO,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,DCCO,ROTE,DKGO,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,DKGO,ROYT,DKIB,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,DKIB,SCAU,EAGR,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,DUCK,SEAD,FOTE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,EAGR,SNEG,FRGU,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FOTE,SOTE,FUWD,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FRGU,STRM,GADW,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FUWD,SULI,GBBG,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,GADW,TERN,GBHE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,GBBG,VULT,GBTE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,GBHE,WHIB,GLGU,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,GBTE,,GLIB,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,GLGU,,GREG,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,GLIB,,GRHE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,GREB,,GRSC,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,GREG,,GRSH,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,GRHE,,GWFG,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,GRSC,,GWTE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,GRSH,,HERG,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,GULL,,HERO,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,GWFG,,HOGR,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,GWTE,,HOME,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,HERG,,ICGU,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,HERO,,LAGU,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,HOGR,,LBBG,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,HOME,,LBHE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,IBIS,,LESC,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ICGU,,LESP,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,JAEG,,LETE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LAGU,,LIGU,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LBBG,,LTDU,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LBHE,,LTGO,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LESC,,LTJA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LESP,,MABO,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LETE,,MAFR,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LIGU,,MALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LOON,,MIKI,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LTDU,,MMDU,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LTGO,,MODU,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LTJA,,NECO,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,MABO,,NOGA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,MAFR,,NOHA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,MALL,,NOPI,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,MERG,,NSHO,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,MIKI,,OSPR,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,MMDU,,PAJA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,MODU,,PBGR,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,NECO,,PEFA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,NOGA,,PESH,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,NOHA,,POJA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,NOPI,,PUGA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,NSHO,,RBGU,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,OSPR,,RBME,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,PAJA,,RBTR,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,PBGR,,REDH,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,PEFA,,REEG,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,PESH,,REPH,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,PHAL,,RFBO,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,POJA,,RNDU,,
