Bin,Methods,General
1970,0,0
1971,0,1
1972,0,1
1973,0,0
1974,1,3
1975,0,0
1976,1,2
1977,1,1
1978,0,0
1979,0,0
1980,0,2
1981,3,3
1982,1,3
1983,0,1
1984,0,2
1985,7,10
1986,2,5
1987,3,3
1988,2,6
1989,7,8
1990,2,10
1991,0,4
1992,1,2
1993,0,9
1994,0,5
1995,4,10
1996,1,9
1997,1,9
1998,3,12
1999,1,16
2000,1,10
2001,0,12
2002,5,19
2003,3,11
2004,1,14
2005,1,17
2006,1,17
2007,2,18
2008,10,28
2009,2,12
2010,0,14
2011,4,18
2012,2,19
2013,0,20
2014,0,17
2015,1,25
2016,6,20
2017,3,18
2018,0,27
2019,2,17
2020,3,9
More,0,0
