year,month,day,tailNo,seat,initials,hexagon,transect,dir,voice,lat,lon,secs,GPSerror,species,count,notes
2018,7,11,708,lf,sde,103,3,3,PSE18008,30.30162,-87.91579,36560.64,0,BEGCOUNT,1033,
2018,7,11,708,lf,sde,103,3,3,PSE18008,30.30881,-87.92559,36585.12,0,COCH,3,
2018,7,11,708,lf,sde,103,3,3,PSE18008,30.33569,-87.96859,36684.36,0,GULL,1,
2018,7,11,708,lf,sde,103,3,3,PSE18008,30.3372,-87.97156,36691.07,0,GULL,1,
2018,7,11,708,lf,sde,103,3,3,PSE18008,30.35191,-87.99724,36747.82,0,TERN,1,
2018,7,11,708,lf,sde,103,3,3,PSE18008,30.36751,-88.02152,36799.86,0,BRPE,6,
2018,7,11,708,lf,sde,103,3,3,PSE18008,30.36751,-88.02152,36799.86,0,TERN,1,
2018,7,11,708,lf,sde,103,3,3,PSE18008,30.40623,-88.08617,36932.65,0,TERN,1,
2018,7,11,708,lf,sde,103,3,3,PSE18008,30.40749,-88.08832,36936.75,0,ENDCOUNT,1033,
2018,7,11,708,lf,sde,103,2,4,PSE18009,30.38919,-88.09541,37072.79,0,BEGCOUNT,1032,
2018,7,11,708,lf,sde,103,2,4,PSE18009,30.38919,-88.09541,37072.79,0,COCH,2,
2018,7,11,708,lf,sde,103,2,4,PSE18009,30.38796,-88.09344,37077.59,0,BRPE,1,
2018,7,11,708,lf,sde,103,2,4,PSE18009,30.34738,-88.02497,37225.75,0,GULL,2,
2018,7,11,708,lf,sde,103,2,4,PSE18009,30.31052,-87.96602,37347.07,0,BRPE,1,
2018,7,11,708,lf,sde,103,2,4,PSE18009,30.28553,-87.92287,37432.61,0,ENDCOUNT,1032,
2018,7,11,708,lf,sde,103,1,3,PSE18010,30.27463,-87.93994,37522.57,0,BEGCOUNT,1031,
2018,7,11,708,lf,sde,103,1,3,PSE18010,30.28425,-87.95588,37556.82,0,COCH,3,
2018,7,11,708,lf,sde,103,1,3,PSE18010,30.32851,-88.02903,37714.16,0,TERN,4,
2018,7,11,708,lf,sde,103,1,3,PSE18010,30.32851,-88.02903,37714.16,0,LETE,2,
2018,7,11,708,lf,sde,103,1,3,PSE18010,30.34084,-88.05253,37761.16,0,GULL,1,
2018,7,11,708,lf,sde,103,1,3,PSE18010,30.36613,-88.09062,37843.07,0,TERN,1,
2018,7,11,708,lf,sde,103,1,3,PSE18010,30.37138,-88.10015,37861.48,0,TERN,4,
2018,7,11,708,lf,sde,103,1,3,PSE18010,30.37316,-88.10332,37867.81,0,GULL,1,
2018,7,11,708,lf,sde,103,1,3,PSE18010,30.37678,-88.10935,37880.6,0,ENDCOUNT,1031,
2018,7,11,708,lf,sde,167,3,4,PSE18011,30.29245,-88.6446,38702.24,0,BEGCOUNT,1673,
2018,7,11,708,lf,sde,167,3,4,PSE18011,30.28818,-88.63697,38717.57,0,COCH,2,
2018,7,11,708,lf,sde,167,3,4,PSE18011,30.27283,-88.61267,38770.12,0,GULL,1,
